rank,regional_association,points
1,Horouta Waka Hoe Club Inc.,472
2,Manukau Outrigger Canoe Club,166
3,Ruamata Waka Ama Club,149
4,Mareikura Waka Ama Club Incorpo,136
5,Taniwha Outrigger Canoe Club In,120
6,Hei Matau Paddlers,116
7,Te Au Rere Waka Ama Club,109
8,Mitamitaga o le Pasefika Va'a-a,100
9,Kaihoe o Ngati Rehia Trust,98
10,Otaki Waka Hoe Charitable Trust,97
11,Haeata Ocean Sports Inc,96
12,Rahui Pokeka Waka Sports,90
13,Te Paerangi Waka Ama Inc,85
14,Waitakere Outrigger Canoe Club ,74
15,Turangawaewae Waka Sports,74
16,Akarana,70
17,Parihaka Waka Ama Inc,59
18,Aratika Tamaki Waka Ama Club In,53
19,Nga Hoe Horo Outrigger Canoe Cl,50
20,Cook Islands Outriggers Associa,47
21,TOA Waka Ama Club,45
22,Te Toki Voyaging Trust,39
23,Te Puku O Te Ika,39
24,Auckland Region Outrigger Canoe,38
25,Te Rau Oranga O Ngati Kahungunu,35
26,Te Wananga o Aotearoa,35
27,Wairarapa Waka Ama Canoe Club,31
28,Whakatu Marae Waka-Ama Club,31
29,Waka Ama O Whakatane,31
30,Te Waka Pounamu,30
31,Hoe Aroha Whanau o Mauao,28
32,Te Awa Haku,26
33,Te Uranga O Te Ra,26
34,Heretaunga Ararau O Ngati Kahun,24
35,Porirua Canoe Kayak Club Inc.,20
36,Hawaiki Nui Tuarua Waka Ama,19
37,YMP Waka Ama,17
38,Tauranga Moana Outrigger Canoe ,15
39,Hoe Tonga Pacifica Waka Ama Ass,15
40,Te Pou Herenga Waka Ama Club In,14
41,Tai Tokerau Polynesian Canoe As,14
42,Waiheke Waka Ama Club,12
43,Waikato Dragon Boat & Waka Ama ,11
44,Pakuranga Outrigger Canoe Club,10
45,Whaingaroa Whanau Hoe Waka,9
46,Te Waka o Aoraki,9
47,Tarawera Outrigger Canoe Club,8
48,Ocean Blue Sports Club,6
49,Tu Tangi Ora - South Kaipara Co,6
50,Taranaki Outrigger Canoe Club,6
51,Wakatipu Waka Ama Club,6
52,Te Aputa Tira Hoe,5
53,Tirohanga Waka Ama,5
54,Hikoikoi Waka Club,5
55,Te Puu Ao,4
56,Maraenui Rugby & Sports Associa,4
57,Te Ringa Miti Tai Heke Whanganu,4
58,Rangaunu Sports Club,3
59,Whanganui River Outrigger Canoe,2
60,Tahiti Region,1
61,Nga Tai Whakarongo,1
